Parça_Kodu,r_optimal,Q_optimal,SS_optimal,grid_r,grid_Q,ml_total_cost,ml_holding_cost,ml_ordering_cost,ml_stockout_cost,ml_service_level,ml_num_orders,ml_avg_inventory,r_eoq,Q_eoq,SS_eoq,eoq_total_cost,eoq_holding_cost,eoq_ordering_cost,eoq_stockout_cost,eoq_service_level,eoq_num_orders,eoq_avg_inventory,abs_saving,pct_saving,ABC,XYZ,Segment,Model_Grubu,champion,WAPE,sMAPE
Part-1,84889,8553,10120.0,81566,11215,4152075.5165838576,2599936.298873351,28640.0,1523499.2177105073,0.980152915083702,172,22162.12416270595,139390,2079,67998.3,8554285.908877417,8433795.908877417,120490.0,0.0,1.0,729,71890.54292463174,4402210.392293559,51.46204416344161,A,Y,AY,Yüksek_Hacim_Ayrı,RandomForest,31.455487455952802,48.97346836166822
Part-10,103365,9798,11081.8,100673,13842,1663358.1837433418,917811.7560992138,30580.0,714966.4276441281,0.976705579528784,183,26384.81889342757,165469,4208,78714.1,2974310.5642830604,2901220.5642830604,73090.0,0.0,1.0,441,83402.91857214078,1310952.3805397185,44.07584050846135,A,Y,AY,Yüksek_Hacim_Ayrı,LightGBM,35.413191238748624,44.53553420614415
Part-100,88634,8624,8208.0,87737,12064,20464849.153177984,12234698.737727387,78400.0,8151750.4154506,0.9823660957997017,187,19464.275751588342,153238,1478,75868.0,49901839.38107018,49434289.38107018,467550.0,0.0,1.0,1123,78645.3888831672,29436990.227892198,58.989789941608564,A,Y,AY,Global_ML,RandomForest,21.026023066594515,22.803913912623038
Part-1000,855,235,9.3,923,181,29902.197461896896,7135.189057174752,6671.25,16095.758404722146,0.9634856108659295,103,187.70688136436408,2768,310,1805.5,85427.95344496146,80174.20344496146,5253.75,0.0,1.0,81,2109.159207126134,55525.75598306456,64.99717451248327,C,Z,CZ,Aralıklı_Croston,Croston-SBA,76.85021504358878,114.6391158788774
Part-1001,606,340,3.5,657,258,20001.45595714881,4599.7323683305385,8910.0,6491.723588818273,0.9812922839420046,104,229.10228360182379,1388,567,751.4,27870.766879602546,22420.766879602546,5450.0,0.0,1.0,63,1116.727774769517,7869.310922453737,28.234999619665857,C,Y,CY,Global_ML,Croston-SBA,100.0,117.36188773945182
Part-1002,953,144,0.4,1039,204,645453.7817028638,212202.03692683514,4070.0,429181.7447760287,0.9562442720075195,189,148.7394813926278,2311,28,1453.7,2026033.7234839262,2004122.4734839262,21911.25,0.0,1.0,1022,1404.7562486692264,1380579.9417810624,68.14200206929652,C,Z,CZ,Aralıklı_Croston,Croston-SBA,100.0,122.79297805526173
Part-1003,553,101,38.5,561,77,19856.02836402024,6707.063126628769,8755.0,4393.965237391472,0.9844454671338874,103,122.08866911731411,1214,173,750.4,49709.95305598637,44499.95305598637,5210.0,0.0,1.0,61,810.0326389978586,29853.92469196613,60.05623191464862,C,Z,CZ,Aralıklı_Croston,LightGBM,63.974522702043956,91.25430171528744
Part-1004,1229,163,5.2,1335,184,591029.4009882903,156587.56217174887,12820.0,421621.8388165414,0.9520167065570055,149,178.0266735742738,1810,63,824.3,606709.1623906784,571759.1623906784,34950.0,0.0,1.0,407,650.0412954534771,15679.761402388103,2.5843950239029736,C,Y,CY,Global_ML,HareketliOrtalama,23.936257598160015,24.730775461661082
Part-1005,1087,165,0.0,1186,233,660847.4375758363,167495.11925827872,12123.75,481228.56831755757,0.9569147144828831,188,170.2676209842901,1637,63,618.2,645998.3589593589,612844.6089593589,33153.75,0.0,1.0,516,622.9888611837866,-14849.078616477433,-2.2986248200998323,C,X,CX,Global_ML,UstelDuzeltme,21.965795358268206,23.544109181077914
Part-1006,1415,250,0.0,1556,214,84478.01654526468,15930.58028523399,9670.0,58877.4362600307,0.9426979153317182,112,231.4132440432361,2308,259,1011.7,82222.99359610268,72332.99359610268,9890.0,0.0,1.0,115,1050.7346499454197,-2255.0229491619975,-2.742569749088878,C,Y,CY,Aralıklı_Croston,HareketliOrtalama,19.951115184845712,20.246772964083423
